fips,county,state,lat,lon,entity_count,total_acres,r1_covered,r1_nearest_site,r1_nearest_dist,r1_covering_site,r1_covering_dist,r1_covering_threshold,r2_covered,r2_nearest_site,r2_nearest_dist,r2_covering_site,r2_covering_dist,r2_covering_threshold,r3_covered,r3_nearest_site,r3_nearest_dist,r3_covering_site,r3_covering_dist,r3_covering_threshold,r4_covered,r4_nearest_site,r4_nearest_dist,r4_covering_site,r4_covering_dist,r4_covering_threshold
37047,Columbus,North Carolina,34.2655,-78.655,1,360.4,N,N/A,N/A,,,,Y,Fort Liberty,64.5,Fort Liberty,64.5,100,Y,Fort Liberty,64.5,Fort Liberty,64.5,100,Y,Military Ocean Terminal Sunny Point,42.7,Fort Liberty,64.5,100
37049,Craven,North Carolina,35.1262,-77.0969,1,81.5,N,N/A,N/A,,,,Y,Marine Corps Air Station Cherry Point,19.8,Dare County Range,79.7,100,Y,Marine Corps Air Station Cherry Point,19.8,Dare County Range,79.7,100,Y,Marine Corps Air Station Cherry Point,19.8,Dare County Range,79.7,100
37051,Cumberland,North Carolina,35.0485,-78.8273,1,247.5,N,N/A,N/A,,,,Y,Fort Liberty,18.2,Fort Liberty,18.2,100,Y,Fort Liberty,18.2,Fort Liberty,18.2,100,Y,Fort Liberty,18.2,Fort Liberty,18.2,100
37061,Duplin,North Carolina,34.9365,-77.9333,3,4908.4,N,N/A,N/A,,,,Y,Seymour Johnson Air Force Base,28.5,Fort Liberty,69.4,100,Y,Seymour Johnson Air Force Base,28.5,Fort Liberty,69.4,100,Y,Seymour Johnson Air Force Base,28.5,Fort Liberty,69.4,100
37065,Edgecombe,North Carolina,35.9129,-77.5971,2,317.4,N,N/A,N/A,,,,Y,Seymour Johnson Air Force Base,44.1,Dare County Range,97.3,100,Y,Seymour Johnson Air Force Base,44.1,Dare County Range,97.3,100,Y,Seymour Johnson Air Force Base,44.1,Dare County Range,97.3,100
37083,Halifax,North Carolina,36.2575,-77.6519,2,764.8,N,N/A,N/A,,,,N,Seymour Johnson Air Force Base,65.2,,,,N,Seymour Johnson Air Force Base,65.2,,,,N,Seymour Johnson Air Force Base,65.2,,,
37085,Harnett,North Carolina,35.3687,-78.8693,1,360.8,N,N/A,N/A,,,,Y,Fort Liberty,23.6,Fort Liberty,23.6,100,Y,Fort Liberty,23.6,Fort Liberty,23.6,100,Y,Fort Liberty,23.6,Fort Liberty,23.6,100
37091,Hertford,North Carolina,36.3111,-76.7495,1,1026.8,N,N/A,N/A,,,,Y,Portsmouth Naval Shipyard,44.3,Dare County Range,63.8,100,Y,Portsmouth Naval Shipyard,44.3,Dare County Range,63.8,100,Y,Portsmouth Naval Shipyard,44.3,Dare County Range,63.8,100
37093,Hoke,North Carolina,35.0174,-79.2371,1,463.2,N,N/A,N/A,,,,Y,Fort Liberty,8.3,Fort Liberty,8.3,100,Y,Fort Liberty,8.3,Fort Liberty,8.3,100,Y,Fort Liberty,8.3,Fort Liberty,8.3,100
37103,Jones,North Carolina,35.0222,-77.3555,1,1716.2,N,N/A,N/A,,,,Y,Marine Corps Air Station New River,26.0,Dare County Range,96.0,100,Y,Marine Corps Air Station New River,26.0,Dare County Range,96.0,100,Y,Marine Corps Air Station New River,26.0,Dare County Range,96.0,100
37107,Lenoir,North Carolina,35.2393,-77.6416,1,223.1,N,N/A,N/A,,,,Y,Seymour Johnson Air Force Base,19.6,Fort Liberty,85.2,100,Y,Seymour Johnson Air Force Base,19.6,Fort Liberty,85.2,100,Y,Seymour Johnson Air Force Base,19.6,Fort Liberty,85.2,100
37117,Martin,North Carolina,35.8416,-77.1072,1,60.3,N,N/A,N/A,,,,Y,Seymour Johnson Air Force Base,58.9,Dare County Range,69.4,100,Y,Seymour Johnson Air Force Base,58.9,Dare County Range,69.4,100,Y,Seymour Johnson Air Force Base,58.9,Dare County Range,69.4,100
37131,Northampton,North Carolina,36.4177,-77.3967,1,2412.7,N,N/A,N/A,,,,Y,Fort Gregg-Adams,56.6,Dare County Range,97.7,100,Y,Fort Gregg-Adams,56.6,Dare County Range,97.7,100,Y,Fort Gregg-Adams,56.6,Dare County Range,97.7,100
