site_name,location,current_part,threshold_miles,regime_added,latitude,longitude,conus,mirta_match
Naval Research Laboratory--Tilghman,"Tilghman, MD",1,1,2020,38.678346,-76.343553,Y,Naval Research Laboratory – Tilghman
Naval Station Newport,"Newport, RI",1,1,2020,41.519808,-71.324633,Y,Naval Station Newport
Naval Station Norfolk,"Norfolk, VA",1,1,2020,36.942073,-76.298718,Y,Naval Station Norfolk
Naval Submarine Base Kings Bay,"Kings Bay, GA",1,1,2020,30.790454,-81.538054,Y,Naval Submarine Base Kings Bay
Naval Submarine Base New London,"Groton, CT",1,1,2020,41.399471,-72.086309,Y,Naval Submarine Base New London
Naval Suffolk Facility,"Suffolk, VA",1,1,2024,38.339825,-77.032544,Y,Naval Support Facility Dahlgren
Naval Support Activity Crane,"Crane, IN",1,1,2020,38.868271,-86.797132,Y,Naval Support Activity Crane
Naval Support Activity Orlando,"Orlando, FL",1,1,2020,28.584091,-81.196796,Y,Naval Support Activity Orlando
Naval Support Activity Panama City,"Panama City, FL",1,1,2020,30.165537,-85.749868,Y,Naval Support Activity Panama City
Naval Support Activity Philadelphia,"Philadelphia, PA",1,1,2020,40.041303,-75.094581,Y,Naval Support Activity Philadelphia
Naval Support Facility Carderock,"Bethesda, MD",1,1,2020,38.974477,-77.192806,Y,Naval Support Facility Carderock
Naval Support Facility Dahlgren,"Dahlgren, VA",1,1,2020,38.339825,-77.032544,Y,Naval Support Facility Dahlgren
Naval Support Facility Indian Head,"Indian Head, MD",1,1,2020,38.584985,-77.183514,Y,Naval Support Facility Indian Head
Naval Surface Warfare Center Carderock Division--Acoustic Research Detachment,"Bayview, ID",1,1,2020,48.123704,-122.171056,Y,Marysville WA
Naval Weapons Station Seal Beach Detachment Norco,"Norco, CA",1,1,2020,33.9372,-117.5711,Y,MANUAL_COORDS
New Boston Air Station,"New Boston, NH",1,1,2020,52.721037,174.10714,Y,Eareckson Air Station
Offutt Air Force Base,"Bellevue, NE",1,1,2020,41.119115,-95.908279,Y,Offutt Air Force Base
Oliktok Long Range Radar Site,"Oliktok, AK",1,1,2020,70.495007,-149.880447,N,Oliktok Long Range Radar Site
Orchard Combat Training Center,"Boise, ID",1,1,2020,43.227721,-116.139118,Y,Orchard Combat Training Center
Peason Ridge Training Area,"Leesville, LA",1,1,2020,19.714969,-155.627038,Y,Pohakuloa Training Area
Pentagon,"Arlington, VA",1,1,2020,43.277804,-71.122229,Y,NG Training Site
Peterson Space Force Base,"Colorado Springs, CO",1,1,2020,38.822897,-104.696135,Y,Peterson Space Force Base
Picatinny Arsenal,"Morris County, NJ",1,1,2020,40.954337,-74.544607,Y,Picatinny Arsenal
Pine Bluff Arsenal,"White Hall, AR",1,1,2024,34.333204,-92.088861,Y,Pine Bluff Arsenal
Pinon Canyon Maneuver Site,"Tyrone, CO",1,1,2020,37.497709,-103.91798,Y,Piñon Canyon Maneuver Site
Pohakuloa Training Area,"Hilo, HI",1,1,2020,19.714969,-155.627038,N,Pohakuloa Training Area
Point Barrow Long Range Radar Site,"Point Barrow, AK",1,1,2020,71.326239,-156.625168,N,Point Barrow Long Range Radar Site
Portsmouth Naval Shipyard,"Kittery, ME",1,1,2020,36.846127,-76.308004,Y,NAVMEDCEN Portsmouth VA
Pueblo Chemical Depot,"Pueblo, CO",1,1,2024,38.2697,-104.4528,Y,MANUAL_COORDS
Radford Army Ammunition Plant,"Radford, VA",1,1,2020,37.181516,-80.539145,Y,Radford Army Ammunition Plant
Red River Army Depot,"Texarkana, TX",1,1,2024,33.4461,-94.2988,Y,MANUAL_COORDS
Rock Island Arsenal,"Rock Island, IL",1,1,2020,41.517086,-90.553917,Y,Rock Island Arsenal
Romanzof Regional Radar Site,"Romanzof, AK",1,1,2024,61.7817,-166.0975,N,MANUAL_COORDS
Rome Research Laboratory,"Rome, NY",1,1,2020,43.221638,-75.410865,Y,Rome Research Laboratory
Scott Air Force Base,"St. Clair County, IL",1,1,2024,38.544631,-89.852834,Y,Scott AFB
Scranton Army Ammunition Plant,"Scranton, PA",1,1,2024,41.3876,-75.6229,Y,MANUAL_COORDS
Seymour Johnson Air Force Base,"Goldsboro, NC",1,1,2020,35.347902,-77.962578,Y,Seymour Johnson Air Force Base
Shaw Air Force Base,"Sumter, SC",1,1,2020,33.977101,-80.474101,Y,Shaw Air Force Base
Southeast Alaska Acoustic Measurement Facility,"Ketchikan, AK",1,1,2020,41.517086,-90.553917,N,Rock Island Arsenal
Sparrevohn Regional Radar Site,"Sparrevohn, AK",1,1,2024,71.326239,-156.625168,N,Point Barrow Long Range Radar Site
Tatalina Regional Radar Site,"Tatalina, AK",1,1,2024,62.8944,-155.9683,N,MANUAL_COORDS
Tin City Long Range Radar Site,"Tin City, AK",1,1,2020,65.566976,-167.987855,N,Tin City Long Range Radar Site
Tooele Army Depot,"Tooele, UT",1,1,2024,40.5131,-112.3875,Y,MANUAL_COORDS
Travis Air Force Base,"Fairfield, CA",1,1,2020,38.264564,-121.942809,Y,Travis Air Force Base
Tyndall Air Force Base,"Bay County, FL",1,1,2020,30.04674,-85.558849,Y,Tyndall Air Force Base
Watervliet Arsenal,"Watervliet, NY",1,1,2020,42.719486,-73.707302,Y,Watervliet Arsenal
Aberdeen Proving Ground,"Aberdeen, MD",2,100,2020,39.348887,-76.284322,Y,Aberdeen Proving Ground
Air Force Plant 42,"Palmdale, CA",2,100,2020,34.6236,-118.0832,Y,Air Force Plant 42
Altus Air Force Base,"Altus, OK",2,100,2024,34.663766,-99.274545,Y,Altus AFB
Arnold Air Force Base,"Coffee County and Franklin County, TN",2,100,2020_moved_2024,35.356625,-86.073935,Y,Arnold Air Force Base
Barksdale Air Force Base,"Bossier City, LA",2,100,2024,32.500281,-93.599941,Y,Barksdale AFB
Camp Dodge,"Johnston, IA",2,100,2024,41.741476,-93.71471,Y,NG Camp Dodge Johnston TS
